Vehicle Name,Description,Kilometer,Price,Location,Condition
2009 Jeep Cherokee KK MY09 Limited White 4 Speed Automatic Wagon,"WORKSHOP TESTED AND COMES WITH CURRENT ROADWORTHY CERTIFICATE. IN VERY TIDY CONDITION INSIDE AND OUT, PRICED WELL FOR QUICK SALE. VERY TIDY AND RARE TO FIND FACTORY LIMITED EDITION 4WD WITH LOW KLMS, IMMACULATE CONDITION THROUGHOUT, READY FOR WEEKENDS OR YOUR NORMAL DAILY COMMUTE, WELL MAINTAINED BY PREVIOUS OWNER, PRICED FOR QUICK SALE, DON'T MISS THIS BARGAIN. WE ARE OPEN FOR BUSINESS AND OFFER CONTACTLESS DELIVERY TO YOUR DOOR. 
+ On The Spot Drive Away Finance (To TAP) + Delivery To ",93972 km,"$12,990","Minchinbury, NSW",Dealer used 
2011 Nissan Tiida C11 Series 3 MY10 ST White 6 Speed Manual Hatchback,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, or view cars at www.selectiveautos.com.au",180677 km,"$5,999","Homebush, NSW",Dealer used 
2015 Jaguar F-TYPE X152 MY16 Coupe White 8 Speed Sports Automatic Coupe,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 Jaguar F-TYPE X152 Coupe 2dr Quickshift 8sp RWD 3.0SC [MY16] 10 Speaker Stereo 20 Cyclone Alloy Wheels - Black Calipers - Red (front & rear) Heated Seats - 1st Row Seat Memory Pack Panoramic Glass Roof Adjustable Steering Column - Power Air Cond. - Climate Control 2 Zone Alarm with Motion Sensor Alarm with Tow Away Protectio",55586 km,"$86,990","Mornington, VIC",Dealer used 
"Toyota CAMRY Altise Sedan AUTOMATIC 2005 with 187,000km - Located at Macksville on the NSW mid-North","Toyota CAMRY Altise Sedan 2005 AUTOMATIC Only 187,000km Central locking
Air conditioned 3 months NSW registration will be included at sale - ready to register 1 to 5 years warranty available on this vehicle. To arrange inspection please call us on (02) *****2889 or Visit our website www.sgmcars.com.au to see our full range of Passenger and Commercial vehicles. This vehicle can be viewed at our Macksville Branch on the NSW mid-North Coast half way between Coffs Harbour & ",187309 km,"$6,990","Macksville, NSW",Dealer used 
1971 Land Rover wagon,"1971 Land Rover
wagon Holden 186 engine Comp test and runs on lpg can hear running
Walk in rego minimal rust for its age
Great project $12000 ono Inspections are welcome Monday to Friday or by appointment
134 main north road prospect",,"$12,000","Prospect, SA",
2015 Jaguar F-TYPE X152 MY16 Coupe White 8 Speed Sports Automatic Coupe,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 Jaguar F-TYPE X152 Coupe 2dr Quickshift 8sp RWD 3.0SC [MY16] 10 Speaker Stereo 20 Cyclone Alloy Wheels - Black Calipers - Red (front & rear) Heated Seats - 1st Row Seat Memory Pack Panoramic Glass Roof Adjustable Steering Column - Power Air Cond. - Climate Control 2 Zone Alarm with Motion Sensor Alarm with Tow Away Protectio",55586 km,"$86,990","Mornington, VIC",Dealer used 
2015 BMW 4 Series F36 428i Gran Coupe M Sport White 8 Speed Sports Automatic Hatchback,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 BMW 4 Series F36 428i M Sport Gran Coupe 5dr Spts Auto 8sp 2.0T  19 Alloy Wheels 9 Speaker Stereo Air Cond. - Climate Control 2 Zone Air Conditioning - Rear Ambient Lighting - Interior Audio - Aux Input USB Socket Bluetooth System Brake Assist Brake Emergency Display - Hazard/Stoplights Camera - Rear Vision Central Locking ",97347 km,"$38,990","Mornington, VIC",Dealer used 
2019 Mitsubishi ASX XD MY20 ES (2WD) White Continuous Variable Wagon,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, 
ALL PRICES REDUCED_____
REAL SALE_____REAL DEALS
",52658 km,"$25,999","Homebush, NSW",Dealer used 
2018 Kia Carnival YP MY19 Platinum Silver 8 Speed Sports Automatic Wagon,FREE VICTORIA WIDE SHIPPING 2018 Kia Carnival YP Platinum Wagon 8st 5dr Spts Auto 8sp 2.2DT [MY19] 12V Socket(s) - Auxiliary 19 Alloy Wheels 8 Speaker Stereo ABS (Antilock Brakes) Adjustable Steering Col. - Tilt & Reach Air Cond. - Climate Control Multi-Zone Airbag - Driver Airbag - Passenger Airbags - Head for 1st Row Seats (Front) Airbags - Head for 2nd Row Seats Airbags - Head for 3rd Row Seats Airbags - Side for 1st Row Occupants (Front) Audio - Aux Input Socket (MP3/CD/,23476 km,"$58,990","Mornington, VIC",Dealer used 
2015 BMW 4 Series F36 428i Gran Coupe M Sport White 8 Speed Sports Automatic Hatchback,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 BMW 4 Series F36 428i M Sport Gran Coupe 5dr Spts Auto 8sp 2.0T  19 Alloy Wheels 9 Speaker Stereo Air Cond. - Climate Control 2 Zone Air Conditioning - Rear Ambient Lighting - Interior Audio - Aux Input USB Socket Bluetooth System Brake Assist Brake Emergency Display - Hazard/Stoplights Camera - Rear Vision Central Locking ",97347 km,"$38,990","Mornington, VIC",Dealer used 
2018 Maserati Levante M161 MY18 Q4 Grey 8 Speed Sports Automatic Wagon,Stunning Maserati Levante Diesel with the follow addition options - - GRIGIO METALLO PAINT - PREMIUM NERO LEATHER WITH BIANCO STITCHING - 21 ANTEO ALLOY WHEELS - RED BRAKE CALIPERS - SKID PLATES - HARMON KARDON SOUND SYSTEM - HEATED FRONT SEATS - KEYLESS ENTRY FRONT & REAR - ADAPTIVE AIR SUSPENSION - ALCANTARA ROOF LINING - PANORAMIC SUNROOF - TRIDENT STITCHED ON HEADREST - FULL MASERATI SERVICE HISTORY - ILLUMINATED DOOR SILL IN ALLOY Add to that the already well spec'd sta,24879 km,"$105,980","Wangara, WA",Dealer used 
2018 Kia Carnival YP MY19 Platinum Silver 8 Speed Sports Automatic Wagon,FREE VICTORIA WIDE SHIPPING 2018 Kia Carnival YP Platinum Wagon 8st 5dr Spts Auto 8sp 2.2DT [MY19] 12V Socket(s) - Auxiliary 19 Alloy Wheels 8 Speaker Stereo ABS (Antilock Brakes) Adjustable Steering Col. - Tilt & Reach Air Cond. - Climate Control Multi-Zone Airbag - Driver Airbag - Passenger Airbags - Head for 1st Row Seats (Front) Airbags - Head for 2nd Row Seats Airbags - Head for 3rd Row Seats Airbags - Side for 1st Row Occupants (Front) Audio - Aux Input Socket (MP3/CD/,23476 km,"$58,990","Mornington, VIC",Dealer used 
2015 BMW 4 Series F36 428i Gran Coupe M Sport White 8 Speed Sports Automatic Hatchback,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 BMW 4 Series F36 428i M Sport Gran Coupe 5dr Spts Auto 8sp 2.0T  19 Alloy Wheels 9 Speaker Stereo Air Cond. - Climate Control 2 Zone Air Conditioning - Rear Ambient Lighting - Interior Audio - Aux Input USB Socket Bluetooth System Brake Assist Brake Emergency Display - Hazard/Stoplights Camera - Rear Vision Central Locking ",97347 km,"$38,990","Mornington, VIC",Dealer used 
2017 Audi Q5 FY MY17 TFSI S Tronic Quattro Ultra Sport Grey 7 Speed Sports Automatic Dual Clutch,"2017 Model Audi Q5 SUV 2.0 TFSI STRON Q SPORT in Monsoon Grey features factory options such: - METALLIC PAINT - S-LINE STYLE PACKAGE - HEATED FRONT SEATS Audi Approved Plus pre-owned vehicles give you assurance with a 115 point check, comes with 2 years AAP Factory Warranty and 2 years nationwide roadside assistance &acirc;€&cent;	Manufacturer-Backed Nationwide 2 Year/Unlimited Km Warranty &acirc;€&cent;	24 Hour/365 Day Nationwide Roadside Assistance &acirc;€&cent;	115 P",35440 km,"$62,007","Zetland, NSW",Dealer used 
2019 Mitsubishi ASX XD MY20 ES (2WD) White Continuous Variable Wagon,"FREE DELIVERY TO YOUR DOOR STEP, TO ALL SYDNEY METROPOLITAN AREAS!!! NATIONWIDE DELIVERY AVAILABLE...
UNDER THE CURRENT LOCKDOWN SITUATION, WE ARE SELLING CARS ""UNDER THE CLICK AND COLLECT"" PROCESS. WE HAVE OUR STAFF TO ASSIST YOU WITH AN EASY TRANSACTION.
WE HAVE TO ADAPT AND CHANGE TO THE CURRENT SITUATION TO OUR CUSTOMERS, SO WE NOW OFFER CONTACTLESS EXPERIENCE . SUCH AS FACE TIME,
PLEASE CONTACT US FOR A FURTHER ASSISTANCE, 
ALL PRICES REDUCED_____
REAL SALE_____REAL DEALS
",52658 km,"$25,999","Homebush, NSW",Dealer used 
2017 Audi Q5 FY MY17 TFSI S Tronic Quattro Ultra Sport Grey 7 Speed Sports Automatic Dual Clutch,"2017 Model Audi Q5 SUV 2.0 TFSI STRON Q SPORT in Monsoon Grey features factory options such: - METALLIC PAINT - S-LINE STYLE PACKAGE - HEATED FRONT SEATS Audi Approved Plus pre-owned vehicles give you assurance with a 115 point check, comes with 2 years AAP Factory Warranty and 2 years nationwide roadside assistance &acirc;€&cent;	Manufacturer-Backed Nationwide 2 Year/Unlimited Km Warranty &acirc;€&cent;	24 Hour/365 Day Nationwide Roadside Assistance &acirc;€&cent;	115 P",35440 km,"$62,007","Zetland, NSW",Dealer used 
2015 BMW 4 Series F36 428i Gran Coupe M Sport White 8 Speed Sports Automatic Hatchback,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 BMW 4 Series F36 428i M Sport Gran Coupe 5dr Spts Auto 8sp 2.0T  19 Alloy Wheels 9 Speaker Stereo Air Cond. - Climate Control 2 Zone Air Conditioning - Rear Ambient Lighting - Interior Audio - Aux Input USB Socket Bluetooth System Brake Assist Brake Emergency Display - Hazard/Stoplights Camera - Rear Vision Central Locking ",97347 km,"$38,990","Mornington, VIC",Dealer used 
2015 BMW 4 Series F36 428i Gran Coupe M Sport White 8 Speed Sports Automatic Hatchback,"FREE VICTORIA WIDE SHIPPING A 3 Year / 200,000km Premium Warranty with Platinum Roadside Assistance come with this vehicle for great peace of mind. 2015 BMW 4 Series F36 428i M Sport Gran Coupe 5dr Spts Auto 8sp 2.0T  19 Alloy Wheels 9 Speaker Stereo Air Cond. - Climate Control 2 Zone Air Conditioning - Rear Ambient Lighting - Interior Audio - Aux Input USB Socket Bluetooth System Brake Assist Brake Emergency Display - Hazard/Stoplights Camera - Rear Vision Central Locking ",97347 km,"$38,990","Mornington, VIC",Dealer used 
2017 Audi Q5 FY MY17 TFSI S Tronic Quattro Ultra Sport Grey 7 Speed Sports Automatic Dual Clutch,"2017 Model Audi Q5 SUV 2.0 TFSI STRON Q SPORT in Monsoon Grey features factory options such: - METALLIC PAINT - S-LINE STYLE PACKAGE - HEATED FRONT SEATS Audi Approved Plus pre-owned vehicles give you assurance with a 115 point check, comes with 2 years AAP Factory Warranty and 2 years nationwide roadside assistance &acirc;€&cent;	Manufacturer-Backed Nationwide 2 Year/Unlimited Km Warranty &acirc;€&cent;	24 Hour/365 Day Nationwide Roadside Assistance &acirc;€&cent;	115 P",35440 km,"$62,007","Zetland, NSW",Dealer used 
1971 Land Rover wagon,"1971 Land Rover
wagon Holden 186 engine Comp test and runs on lpg can hear running
Walk in rego minimal rust for its age
Great project $12000 ono Inspections are welcome Monday to Friday or by appointment
134 main north road prospect",,"$12,000","Prospect, SA",
2018 Maserati Levante M161 MY18 Q4 Grey 8 Speed Sports Automatic Wagon,Stunning Maserati Levante Diesel with the follow addition options - - GRIGIO METALLO PAINT - PREMIUM NERO LEATHER WITH BIANCO STITCHING - 21 ANTEO ALLOY WHEELS - RED BRAKE CALIPERS - SKID PLATES - HARMON KARDON SOUND SYSTEM - HEATED FRONT SEATS - KEYLESS ENTRY FRONT & REAR - ADAPTIVE AIR SUSPENSION - ALCANTARA ROOF LINING - PANORAMIC SUNROOF - TRIDENT STITCHED ON HEADREST - FULL MASERATI SERVICE HISTORY - ILLUMINATED DOOR SILL IN ALLOY Add to that the already well spec'd sta,24879 km,"$105,980","Wangara, WA",Dealer used 
1971 Land Rover wagon,"1971 Land Rover
wagon Holden 186 engine Comp test and runs on lpg can hear running
Walk in rego minimal rust for its age
Great project $12000 ono Inspections are welcome Monday to Friday or by appointment
134 main north road prospect",,"$12,000","Prospect, SA",
1971 Land Rover wagon,"1971 Land Rover
wagon Holden 186 engine Comp test and runs on lpg can hear running
Walk in rego minimal rust for its age
Great project $12000 ono Inspections are welcome Monday to Friday or by appointment
134 main north road prospect",,"$12,000","Prospect, SA",
2015 Jeep Grand Cherokee WK MY15 Laredo 4x2 Deep Cherry Red 8 Speed Sports Automatic Wagon,"WORKSHOP TESTED AND COMES WITH CURRENT ROADWORTHY CERTIFICATE. IN VERY TIDY CONDITION INSIDE AND OUT, PRICED WELL FOR QUICK SALE. VERY TIDY, IMMACULATE CONDITION THROUGHOUT, READY FOR WEEKENDS OR YOUR NORMAL DAILY COMMUTE, WELL MAINTAINED BY PREVIOUS OWNER, PRICED FOR QUICK SALE, DON'T MISS OUT ON THIS BARGAIN. WE ARE OPEN FOR BUSINESS AND OFFER CONTACTLESS DELIVERY TO YOUR DOOR. 
+ On The Spot Drive Away Finance (To TAP) + Delivery To Your Home Or Office In Sydney Metro (ACA) + Austral",120442 km,"$24,990","Minchinbury, NSW",Dealer used 
2016 Mazda BT-50 MY16 XTR (4x4) Blue 6 Speed Automatic Dual Cab Utility,"BT50 XTR AUTO 3.2 turbo diesel 4x4, loaded with extra gear and comes with logbook service history in the best colour. Dont miss out..",97523 km,"$36,965","Jandakot, WA",Dealer used 
2012 Holden Special Vehicles Senator E3 MY12 Signature Grey 6 Speed Auto Active Sequential Sedan,"WOW! One of the better E3 Senators we have ever seen! Upon first glance, you can tell this stunning V8 HSV has been meticulously maintained its entire life, and it has the excellent service history to back it up! With luxury features including Dual Climate Control, Leather Electric Seats, Alloy Wheels, Reverse Camera, Bluetooth Connectivity, and much more!",90919 km,"$62,990","Jandakot, WA",Dealer used 
Selling my 2014 Nissan Micra Manual ,Only 150000 Kms single owner driven car.,,"$4,444","Cranbourne, VIC",
2016 Mazda BT-50 MY16 XTR (4x4) Blue 6 Speed Automatic Dual Cab Utility,"BT50 XTR AUTO 3.2 turbo diesel 4x4, loaded with extra gear and comes with logbook service history in the best colour. Dont miss out..",97523 km,"$36,965","Jandakot, WA",Dealer used 
2018 Volkswagen Tiguan 5NA MY18 132 TSI Comfortline Silver 7 Speed Auto Direct Shift Wagon,"German engineered midsized SUV with the powerful 2.0 litre turbo engine, T-bar Tiptronic auto, sat nav, safety of AWD, cruise and traction control, front side airbags, Bluetooth, Apple/Android connectivity, push button start, heated front seating, selectable drive modes, alloy wheels, front and rear sensors plus reverse camera. 57,000 kms with service history. Lovely vehicle.",57951 km,"$33,965","Jandakot, WA",Dealer used 
2006 Toyota hilux sr5,"Up for sale my 2006 Toyota Hilux Upgraded SR5 turbo diesel 4x4 dual cab Ute in immaculate condition comes with Rego and RWC
Pretty clean car in and out
Heaps of extras
Bull bar
Electric winch
2.5 inch lift kit
Bush plates
Side steps
ARB rear step
33 inch mud tyres
Snorkel
Weather shields
Bonnet protecter
Light force LED
LED light bar
Tow bar
And more
Don’t hesitate to give me a call for an inspection at anytime , thanks",,"$26,999","Broadmeadows, VIC",
2005 Peugeot 307 T6 XS HDi Touring Burgundy 5 Speed Manual Wagon,"JUST TRADED FROM NEW CAR DEPARTMENT, PEUGOT 307 XS HDI TOURING 1.6 LITRE TURBO DIESEL 5 SPEED MANUAL 5 DOOR WAGON , FINNISHED IN PERSIAN RED METALLIC DUCO WITH BLACK LEATHER INTERIOR LOOKS AND DRIVES GREAT, WELL MAINTAINED MELBOURNE OWNED AND WITH ONLY 105000 KILOMETERS TRAVELLED FROM NEW, ALL THE BOOKS ALLWAYS SERVICED WOULD MAKE A PERFECT FIRST CAR OR CITY RUNAROUND, ECONOMICAL 1.6 LITRE TURBO DIESEL ENGINE WITH AN EASY TO DRIVE 5 SPEED MANUAL TRANSMISSION AND 5 DOORS, ALL THE PEUGOT SAFTEY ",,"$6,990","Mornington, VIC",Dealer used 
Selling my 2014 Nissan Micra Manual ,Only 150000 Kms single owner driven car.,,"$4,444","Cranbourne, VIC",
2018 Volkswagen Tiguan 5NA MY18 132 TSI Comfortline Silver 7 Speed Auto Direct Shift Wagon,"German engineered midsized SUV with the powerful 2.0 litre turbo engine, T-bar Tiptronic auto, sat nav, safety of AWD, cruise and traction control, front side airbags, Bluetooth, Apple/Android connectivity, push button start, heated front seating, selectable drive modes, alloy wheels, front and rear sensors plus reverse camera. 57,000 kms with service history. Lovely vehicle.",57951 km,"$33,965","Jandakot, WA",Dealer used 
2018 Volkswagen Tiguan 5NA MY18 132 TSI Comfortline Silver 7 Speed Auto Direct Shift Wagon,"German engineered midsized SUV with the powerful 2.0 litre turbo engine, T-bar Tiptronic auto, sat nav, safety of AWD, cruise and traction control, front side airbags, Bluetooth, Apple/Android connectivity, push button start, heated front seating, selectable drive modes, alloy wheels, front and rear sensors plus reverse camera. 57,000 kms with service history. Lovely vehicle.",57951 km,"$33,965","Jandakot, WA",Dealer used 
2019 Jeep Cherokee KL MY19 Limited White 9 Speed Sports Automatic Wagon,"Each of our quality used cars are presented with a full road worthy certificate. In addition to the 100 point safety check covering all body, engine/driveline, suspension and brakes we change the motor oil and filter all done in our VACC workshop. You can buy with complete confidence from one of Melbourne&acirc;€™s largest Automotive Groups. Open 7 days. Enquire on our great finance packages from one of Australia&acirc;€™s largest Car loan lenders. Guaranteed title and repairable write off chec",11984 km,"$47,480","Hoppers Crossing, VIC",Dealer used 
2018 Mazda Mazda3 Maxx Sport 6 Sp Automatic 4d Sedan,"Mazda 3 Maxx Sport
Excellent condition
Soul red colour
Tinted windows
Air conditioning",,"$22,000","Tanilba Bay, NSW",
2011 Holden Caprice,"6 speed Auto, 6.0L V8, Service history!! Drives great!!
Dual zone Air conditioning
Air bags
CD /AUX with bluetooth audio & calling
Electric windows & mirrors
Reverse camera
Front & rear parking sensors
Leather seats
Sunrof
Cruise control
Alloy wheels
Tinted windows Wholesale vehicles direct to the public.
All vehicles are put through our onsite workshop for mechanical inspection.
NSW or QLD registration available. Please call or message Andrew to enquire
**********569*
Inspection by ",166000 km,"$24,880","Tweed Heads, NSW",Dealer used 
2014 Land Rover Discovery MY14 3.0 SDV6 SE Fuji White 8 Speed Automatic Wagon,"There is not much not to like about the Discovery. In 183KW SE form it can be driven and treated as a pure luxury vehicle and there are not any compromises you have to make despite its off-road underpinnings. The stylish presentation its road presence and luxury touring appeal. This SE-spec comes with Meridian Sound upgrade, rear-view camera, RHINO Roof rack and low kilometres.",109438 km,"$55,971","Jandakot, WA",Dealer used 
2018 Holden Colorado RG MY18 LS (4x2) White 6 Speed Automatic Cab Chassis,"Trade-ins welcome! 
We have competitive, same-day finance options and comprehensive protection plans from leading Australian providers. Our vehicles have been independently mechanically inspected and road tested for your peace of mind. With over 2000 late-model quality passenger and commercial vehicles available under cover at one convenient location, our best price first fixed-price philosophy equals better value for you and provides a simple no-haggle, no-hassle vehicle buying experience.",68214 km,"$31,959","Bentley, WA",Dealer used 
2020 Ford Transit Custom VN 2020.50MY 340S (Low Roof) White 6 Speed Automatic Van,"IF YOU ARE A BUSINEES OWNER, YOU WILL LOVE THIS TRANSPORT VEHICLE. EX FORD AUSTRALIA DEMO AND READY FOR IMMEDIATE DELIVERY FEATURES & OPTIONS *** REVERSING CAMERA *** SAT NAVIGATION *** HEATED SEATS *** APPLE CARPLAY & ANDROID AUTO *** DIGITAL RADIO *** 6 SEATER *** LOW KMS We are a Darwin based Multi Franchise dealership and are part of a large dealer network around Australia. This allows us to offer you a massive selection of quality new and pre-owned vehicles tested by ",3436 km,"$52,800","Berrimah, NT",Dealer used 
2018 Hyundai i30 PD2 MY18 Trophy Grey 6 Speed Sports Automatic Hatchback,"Each of our quality used cars are presented with a full road worthy certificate. In addition to the 100 point safety check covering all body, engine/driveline, suspension and brakes we change the motor oil and filter all done in our VACC workshop. You can buy with complete confidence from one of Melbourne&acirc;€™s largest Automotive Groups. Open 7 days. Enquire on our great finance packages from one of Australia&acirc;€™s largest Car loan lenders. Guaranteed title and repairable write off chec",70614 km,"$22,980","Hoppers Crossing, VIC",Dealer used 
2016 Ford Ranger PX MkII XL White 6 Speed Sports Automatic Cab Chassis,TRADIE WORKHORSE This beautifully presented 4x4 3.2DT UTE has been well looked after and drives as well as it should for its age and kms A thorough clean so you get that fresh car feeling combined with a buff and polish to turn heads as you drive your new wheels out the gate! -	Air Conditioning - Alloy Wheels -	Bluetooth Connectivity -	Cruise Control -	Tow Bar -	Log Books with service history We are a Darwin based Multi Franchise dealership and are part of a large dealer ,109847 km,"$42,990","Berrimah, NT",Dealer used 
2014 Land Rover Discovery MY14 3.0 SDV6 SE Fuji White 8 Speed Automatic Wagon,"There is not much not to like about the Discovery. In 183KW SE form it can be driven and treated as a pure luxury vehicle and there are not any compromises you have to make despite its off-road underpinnings. The stylish presentation its road presence and luxury touring appeal. This SE-spec comes with Meridian Sound upgrade, rear-view camera, RHINO Roof rack and low kilometres.",109438 km,"$55,971","Jandakot, WA",Dealer used 
2016 Skoda Superb NP MY17 162TSI Sedan DSG White 6 Speed Sports Automatic Dual Clutch Liftback,MAIN DEALER FOR ABSOLUTE PEACE OF MIND! Beautify designed and engineered. European good looks and just amazing to drive! Stereo system has Apple Play and Android Auto for complete integrated navigation and audio controls white driving. Reverse parking camera and sensors along with adaptive cruise control make driving this around very enjoyable. Multi zone climate control air conditioning and Satellite navigation (GPS) Fully Workshop Tested by our VW Trained Technicians and comes with Warranty. ,82843 km,"$28,988","Rockingham, WA",Dealer used 
2018 Hyundai i30 PD2 MY18 Trophy Grey 6 Speed Sports Automatic Hatchback,"Each of our quality used cars are presented with a full road worthy certificate. In addition to the 100 point safety check covering all body, engine/driveline, suspension and brakes we change the motor oil and filter all done in our VACC workshop. You can buy with complete confidence from one of Melbourne&acirc;€™s largest Automotive Groups. Open 7 days. Enquire on our great finance packages from one of Australia&acirc;€™s largest Car loan lenders. Guaranteed title and repairable write off chec",70614 km,"$22,980","Hoppers Crossing, VIC",Dealer used 
2016 Skoda Superb NP MY17 162TSI Sedan DSG White 6 Speed Sports Automatic Dual Clutch Liftback,MAIN DEALER FOR ABSOLUTE PEACE OF MIND! Beautify designed and engineered. European good looks and just amazing to drive! Stereo system has Apple Play and Android Auto for complete integrated navigation and audio controls white driving. Reverse parking camera and sensors along with adaptive cruise control make driving this around very enjoyable. Multi zone climate control air conditioning and Satellite navigation (GPS) Fully Workshop Tested by our VW Trained Technicians and comes with Warranty. ,82843 km,"$28,988","Rockingham, WA",Dealer used 
2016 Ford Ranger PX MkII XL White 6 Speed Sports Automatic Cab Chassis,TRADIE WORKHORSE This beautifully presented 4x4 3.2DT UTE has been well looked after and drives as well as it should for its age and kms A thorough clean so you get that fresh car feeling combined with a buff and polish to turn heads as you drive your new wheels out the gate! -	Air Conditioning - Alloy Wheels -	Bluetooth Connectivity -	Cruise Control -	Tow Bar -	Log Books with service history We are a Darwin based Multi Franchise dealership and are part of a large dealer ,109847 km,"$42,990","Berrimah, NT",Dealer used 
2013 Mercedes-Benz GL-Class X166 GL350 BlueTEC 7G-Tronic + Silver 7 Speed Sports Automatic Wagon,"*** FREE 1 YEAR WARRANTY AND ROADSIDE ASSISTANCE ***
*** FULLY LOADED*** Contact us today for more information * Trade In your old car for a better deal on your New Car
* This car is handpicked by our experienced staff ready for immediate delivery Nation wide
* Comprehensive Extended warranty & Finance packages available on all cars
* All cars Mechanically checked and prepared for sale at the highest quality Showroom Opening Times:
Monday &acirc;€“ Friday: ",174500 km,"$47,888","Springvale, VIC",Dealer used 
2013 Mercedes-Benz GL-Class X166 GL350 BlueTEC 7G-Tronic + Silver 7 Speed Sports Automatic Wagon,"*** FREE 1 YEAR WARRANTY AND ROADSIDE ASSISTANCE ***
*** FULLY LOADED*** Contact us today for more information * Trade In your old car for a better deal on your New Car
* This car is handpicked by our experienced staff ready for immediate delivery Nation wide
* Comprehensive Extended warranty & Finance packages available on all cars
* All cars Mechanically checked and prepared for sale at the highest quality Showroom Opening Times:
Monday &acirc;€“ Friday: ",174500 km,"$47,888","Springvale, VIC",Dealer used 
2003 Jeep grand cherokee laredo 4.7 v8 petrol and gas bullbar towbar black colour wont last,"This jeep grand cherokee laredo is a 4x4 petrol and gas
just been serviced
mechanically a1
Has many extras including heavy duty bullbar with towbar and side steps
Black in colour with the grey trim
great family car
Tyres are nearly new
Drives well
power windows
We can also deliver anywhere in australia
extended warranty available
finance options also available",277025 km,"$8,501","Haberfield, NSW",Dealer used 
2006 HOLDEN ASTRA CD COUPE ** 1.8 4 CYLINDER ** MANUAL *** 2 KEYS + COMPREHENSIVE SERVICE HISTORY **,"WOW these dont come along very often. Low KM example and sitting on a nice set of 15'' ALLOYS this stands out. Sporty looking little COUPE with alot going for it. Including a heap of RECEIPTS + SERVICE HISTORY and 2 KEYS. Equipped with a PUNCHY 1.8 ENGINE thats GREAT ON FUEL and a ZIPPY MANUAL TRANSMISSION its ONE FUN CAR!!! FEATURES INCLUDE:
* ECONOMICAL 1.8 MOTOR
* MANUAL
* COMPREHENSIVE SERVICE HISTORY
* 15'' ALLOY WHEELS
* MULTIFUNCTION STEERING WHEEL
* WINDOW TINT
* RADIO CD WITH GREAT S",172009 km,"$4,999","Victoria Park, WA",Dealer used 
2018 Hyundai i30 PD2 MY18 Trophy Grey 6 Speed Sports Automatic Hatchback,"Each of our quality used cars are presented with a full road worthy certificate. In addition to the 100 point safety check covering all body, engine/driveline, suspension and brakes we change the motor oil and filter all done in our VACC workshop. You can buy with complete confidence from one of Melbourne&acirc;€™s largest Automotive Groups. Open 7 days. Enquire on our great finance packages from one of Australia&acirc;€™s largest Car loan lenders. Guaranteed title and repairable write off chec",70614 km,"$22,980","Hoppers Crossing, VIC",Dealer used 
2018 Hyundai i30 PD2 MY18 Trophy Grey 6 Speed Sports Automatic Hatchback,"Each of our quality used cars are presented with a full road worthy certificate. In addition to the 100 point safety check covering all body, engine/driveline, suspension and brakes we change the motor oil and filter all done in our VACC workshop. You can buy with complete confidence from one of Melbourne&acirc;€™s largest Automotive Groups. Open 7 days. Enquire on our great finance packages from one of Australia&acirc;€™s largest Car loan lenders. Guaranteed title and repairable write off chec",70614 km,"$22,980","Hoppers Crossing, VIC",Dealer used 
